address,city,date,id,injured,killed,source,state
2090 Pine Ridge Circle,North Charleston,2020-02-20,1625804,0,1,https://www.postandcourier.com/news/two-suspects-charged-with-north-charleston-shooting-of--year/article_57bfa4f2-6190-11ea-b513-f37e428935e9.html,South Carolina
1344 Balsam Dr,Decatur (North Decatur),2020-02-20,1625562,0,1,https://www.wsbtv.com/news/local/dekalb-police-officer-involved-shooting/XLSWIIQE6BFQBMNPAX33CSMWWM/,Georgia
5401 Atlantic Ave,Long Beach,2020-02-20,1626045,2,1,https://www.nbclosangeles.com/news/local/armed-suspect-killed-by-long-beach-police-identified/2314165/,California
6000 block of SW Moody St,Victoria,2020-02-20,1625595,0,0,https://www.victoriaadvocate.com/news/local/deputies-monitor-aloe-elementary-school-after-possible-road-rage-incident/article_6bd373cc-53fa-11ea-bbbb-9bf516f42b03.html,Texas
1300 block of W 15th St,Long Beach,2020-02-20,1625577,1,0,https://www.presstelegram.com/2020/02/20/man-hospitalized-after-being-shot-in-long-beach/,California
1600 block of Good Hope Rd SE,Washington,2020-02-20,1625748,2,0,https://www.wusa9.com/article/news/crime/two-women-shot-in-southeast-dc-unintentionally/65-0dbd8003-cd1a-47ae-99e6-7c3a02704cca,District of Columbia
1600 block of E 10th St,Erie,2020-02-20,1625548,0,0,https://www.goerie.com/news/20200220/police-probe-reports-of-vehicle-occupant-firing-gunshots-at-man-in-east-erie,Pennsylvania
Goldsmith Rd and Sheila Ln,Stone Mountain,2020-02-20,1625543,0,0,https://www.cbs46.com/news/suspect-shoots-at-police-in-stone-mountain/article_66517e00-544d-11ea-b2ac-eb61b335b0f6.html,Georgia
4321 S 10th Ave,Caldwell,2020-02-20,1625553,3,2,https://www.ktvb.com/article/news/crime/police-3-shooting-victims-in-stable-condition-after-caldwell-murder-suicide/277-fd5be1e7-0710-42cc-ab6f-5352a747b5dd,Idaho
2600 block of Marfa Ave,Dallas,2020-02-20,1626357,1,0,https://www.nbcdfw.com/news/local/1-injured-during-shooting-in-south-dallas/2315298/,Texas
5000 block of N Sydenham St,Philadelphia,2020-02-20,1625535,0,1,https://6abc.com/person-found-inside-burning-car-apparently-shot-in-head-police/5950698/,Pennsylvania
3400 block of Nomas St,Dallas,2020-02-20,1626344,1,0,https://www.nbcdfw.com/news/local/1-injured-in-shooting-that-left-bullet-holes-in-car-window/2315310/,Texas
10000 block of Huntington View Dr,Houston,2020-02-20,1637123,0,0,https://abc13.com/victims-scream-as-man-robs-home-at-gunpoint/5999281/,Texas
1400 block of S 8th St,Terre Haute,2020-02-20,1625506,1,0,https://www.tribstar.com/news/police-investigate-separate-overnight-stabbing-shooting/article_6eb1882a-53e3-11ea-8673-9f882203e5d1.html,Indiana
1301 Dotsy Ave,Odessa,2020-02-20,1625503,0,0,https://www.cbs7.com/content/news/FIRST-ON-CBS7--Second-gun-found-on-OHS-campus-this-afternoon-568056791.html,Texas
13500 Anglin St,Detroit,2020-02-20,1625458,1,0,https://www.wxyz.com/news/region/macomb-county/farmington-hills-police-officer-accused-of-domestic-violence-in-warren,Michigan
Jasper St and Hart Ln,Philadelphia,2020-02-20,1625500,0,0,https://philadelphia.cbslocal.com/2020/02/20/philadelphia-police-officer-involved-shooting-shuts-down-kensington-neighborhood/,Pennsylvania
12600 block of Pierson St,Detroit,2020-02-20,1625452,0,1,https://wwjnewsradio.radio.com/articles/news/man-found-shot-dead-inside-car-on-detroits-west-side,Michigan
5439 Evers Rd,San Antonio,2020-02-20,1626307,0,0,https://news4sanantonio.com/news/local/driver-foils-attempted-carjacking-at-northwest-side-gas-station,Texas
2211 S Cedar St,Lansing,2020-02-20,1625472,2,0,https://www.lansingstatejournal.com/story/news/2020/02/20/police-two-injured-shooting-lansings-fleetwood-diner/4817575002/,Michigan
8620 SW 74th St,Oklahoma City,2020-02-20,1625427,0,1,https://www.news9.com/story/41786843/police-identify-man-who-died-at-gun-range-linked-to-truck-stop-incident,Oklahoma
7120 NW 43rd St,Bethany,2020-02-20,1628111,0,2,https://www.news9.com/story/41778777/police-identify-victims-in-bethany-murdersuicide,Oklahoma
